"","TIME_STAMP","WIND_SPEED","WIND_DIR","POWER","DAY","MONTH","YEAR","MIN_TIME","HOUR_TIME","WIND_MOV","SPD_MOV"
"996","2011-03-19",6.13666666666667,20,227.433333333333,19,3,2011,300,500,0.127333333333333,-0.00700000000000003
"1002","2011-03-19",5.88,21,196.233333333333,19,3,2011,360,600,0.3495,0.000999999999999979
"1008","2011-03-19",5.91833333333333,21,197.1,19,3,2011,420,700,0.341000000000001,0.016
"1014","2011-03-19",5.70166666666667,21,182.783333333333,19,3,2011,480,800,0.209166666666667,0.00300000000000002
"1020","2011-03-19",5.475,21,160.05,19,3,2011,540,900,0.215333333333333,-0.029
"1026","2011-03-19",5.64,21,179.7,19,3,2011,600,1000,0.202,-0.00700000000000003
"1029","2011-03-19",5.42,21,148.95,19,3,2011,660,1100,0.110666666666668,-0.01625
"1035","2011-03-19",5.80833333333333,21,188.533333333333,19,3,2011,720,1200,0.132833333333334,0.022
"1041","2011-03-19",5.475,21,160.483333333333,19,3,2011,780,1300,0.234833333333334,-0.027
"1047","2011-03-19",5.63666666666667,20,170.666666666667,19,3,2011,840,1400,0.234999999999999,-0.011
"1053","2011-03-19",5.04833333333333,19,121.783333333333,19,3,2011,900,1500,0.370833333333333,-0.02
"1059","2011-03-19",5.445,19,156.833333333333,19,3,2011,960,1600,0.2535,0.031
"1065","2011-03-19",5.94166666666667,19,203.5,19,3,2011,1020,1700,0.28,0.07
"1071","2011-03-19",5.95666666666667,18,211.3,19,3,2011,1080,1800,0.408,-0.036
"1077","2011-03-19",5.485,18,161.133333333333,19,3,2011,1140,1900,0.392333333333334,-0.0100000000000001
"1083","2011-03-19",4.53,19,82.75,19,3,2011,1200,2000,0.673,-0.037
"1089","2011-03-19",4.85833333333333,19,104.6,19,3,2011,1260,2100,0.407000000000001,-0.00900000000000007
"1095","2011-03-19",4.86833333333333,19,107.116666666667,19,3,2011,1320,2200,0.274333333333333,-0.034
"1101","2011-03-19",5.39333333333333,20,151.033333333333,19,3,2011,1380,2300,0.3525,-0.023
"1107","2011-03-20",5.76166666666667,22,189,20,3,2011,0,0,0.465833333333334,-0.046
"1113","2011-03-20",5.08666666666667,22,131.066666666667,20,3,2011,60,100,0.293666666666667,-0.00999999999999996
"1119","2011-03-20",4.31333333333333,22,71.7166666666667,20,3,2011,120,200,0.663,-0.042
"1125","2011-03-20",4.60666666666667,21,91.0666666666667,20,3,2011,180,300,0.292666666666666,0.021
"1131","2011-03-20",4.65,21,98.3666666666667,20,3,2011,240,400,0.8505,0.021
"1137","2011-03-20",4.9,20,108.95,20,3,2011,300,500,0.582833333333333,0.013
"1143","2011-03-20",4.15,20,60.7666666666667,20,3,2011,360,600,0.280833333333334,-0.027
"1149","2011-03-20",3.8,20,44.9,20,3,2011,420,700,0.0974999999999998,0.00899999999999999
"1155","2011-03-20",3.985,21,65.1166666666667,20,3,2011,480,800,1.7805,0.019
"1161","2011-03-20",4.3475,20,70.9,20,3,2011,560,920,0.428916666666668,0.0566666666666667
"1165","2011-03-20",4.60833333333333,20,90.3166666666667,20,3,2011,600,1000,0.390666666666667,0
"1171","2011-03-20",5.16833333333333,20,140.016666666667,20,3,2011,660,1100,0.69,0.031
"1177","2011-03-20",3.574,26,33.58,20,3,2011,720,1200,1.1852,-0.04
"1182","2011-03-20",3.976,25,53.24,20,3,2011,790,1310,0.845533333333334,-0.00533333333333332
"1187","2011-03-20",3.51333333333333,24,32.4666666666667,20,3,2011,840,1400,0.539333333333334,-0.037
"1190","2011-03-20",3,22,13.66,20,3,2011,910,1510,0.4878,0.00180000000000001
"1195","2011-03-20",2.94,20,12.35,20,3,2011,960,1600,0.592749999999998,-0.057
"1197","2011-03-20",4.1525,20,61.375,20,3,2011,1220,2020,0.660999999999999,0.108
"1201","2011-03-20",4.61333333333333,21,87.3,20,3,2011,1260,2100,0.466333333333332,0.024
"1207","2011-03-20",3.83833333333333,22,44.6166666666667,20,3,2011,1320,2200,0.536333333333335,-0.00300000000000002
"1213","2011-03-20",3.92166666666667,20,48.15,20,3,2011,1380,2300,0.396499999999997,0.00299999999999998
"1219","2011-03-21",3.96,21,52.3666666666667,21,3,2011,0,0,0.55716666666667,0.019
"1225","2011-03-21",3.065,19,18.75,21,3,2011,60,100,1.66170000000001,-0.054
"1227","2011-03-21",1.88,25,0.9,21,3,2011,160,240,2.889,-0.0306
"1228","2011-03-21",3.308,16,25.66,21,3,2011,790,1310,0.776120634920634,0.00104761904761905
"1233","2011-03-21",3.04333333333333,16,22.9666666666667,21,3,2011,840,1400,0.386666666666669,0.039
"1236","2011-03-21",3.046,19,14.88,21,3,2011,900,1500,0.733650000000001,0.0175
"1241","2011-03-21",3.2925,18,21,21,3,2011,1160,1920,0.504136363636364,0.00118181818181818
"1245","2011-03-21",3.308,18,24.08,21,3,2011,1200,2000,0.675400000000002,0.037
"1250","2011-03-21",2.835,18,2.7,21,3,2011,1280,2120,0.319000000000005,0.003
"1252","2011-03-21",3.195,16,21.4,21,3,2011,1360,2240,0.178071428571427,0.00514285714285714
"1254","2011-03-21",3.14,15,15.5,21,3,2011,1380,2300,0.361000000000001,0.00699999999999998
"1256","2011-03-22",3.49666666666667,36,31.9666666666667,22,3,2011,450,730,0.323053333333333,0.00016
"1259","2011-03-22",2.9425,37,12.1,22,3,2011,480,800,0.384249999999999,-0.042
"1263","2011-03-22",4.67666666666667,4,105.55,22,3,2011,1140,1900,0.584761904761906,0.00101587301587302
"1269","2011-03-22",4.06,5,53.8666666666667,22,3,2011,1200,2000,0.672666666666666,-0.00800000000000001
"1275","2011-03-22",3.235,2,18.05,22,3,2011,1260,2100,0.613,-0.00700000000000003
"1281","2011-03-22",4.83166666666667,36,107.2,22,3,2011,1320,2200,0.578833333333333,0.101
"1287","2011-03-22",4.70166666666667,35,91.7333333333333,22,3,2011,1380,2300,0.730000000000001,0.038
"1293","2011-03-23",4.24333333333333,32,66.45,23,3,2011,0,0,0.335166666666665,0.069
"1299","2011-03-23",3.105,33,19.35,23,3,2011,60,100,0.612749999999998,0.017
"1303","2011-03-23",3.24333333333333,33,17.1333333333333,23,3,2011,120,200,0.220333333333334,0.0343333333333333
"1306","2011-03-23",3.6,36,29.1,23,3,2011,290,450,0.192866666666667,0.00413333333333333
"1307","2011-03-23",3.662,36,36.9,23,3,2011,300,500,0.656400000000002,0.069
"1312","2011-03-23",3.38666666666667,16,26.9,23,3,2011,970,1610,0.623111111111111,0.000650793650793651
"1315","2011-03-23",3.68666666666667,18,41.05,23,3,2011,1020,1700,0.8665,-0.077
"1321","2011-03-23",2.81,21,12.75,23,3,2011,1080,1800,0.175500000000001,-0.092
"1323","2011-03-23",5.05,15,121.58,23,3,2011,1210,2010,0.602783333333333,0.0121666666666667
"1328","2011-03-23",6.13,15,225.3,23,3,2011,1260,2100,0.142000000000002,0.052
"1329","2011-03-23",6.43,16,264.5,23,3,2011,1350,2230,0.321666666666666,-0.049
"1332","2011-03-23",7.28166666666667,16,345.316666666667,23,3,2011,1380,2300,0.438,0.049
"1338","2011-03-24",6.60166666666667,16,287.933333333333,24,3,2011,0,0,0.473333333333334,-0.061
"1344","2011-03-24",5.535,19,173.233333333333,24,3,2011,60,100,0.4445,-0.038
"1350","2011-03-24",7,21,339.633333333333,24,3,2011,120,200,0.515,0.122
"1353","2011-03-24",6.085,26,228.275,24,3,2011,680,1120,0.500000000000001,-0.092
"1357","2011-03-24",7.05833333333333,26,330.283333333333,24,3,2011,720,1200,0.255,0.222
"1363","2011-03-24",6.25833333333333,26,255.866666666667,24,3,2011,780,1300,0.441166666666666,-0.047
"1369","2011-03-24",7.634,22,306.5,24,3,2011,1030,1710,0.7684,-0.048
"1374","2011-03-24",5.17666666666667,24,140.733333333333,24,3,2011,1080,1800,0.693833333333335,-0.153
